ParticipantID, Gender, Race, isEmbodied, VH_Instructor, Trial #, date-time
8, M, Black,False,False, 1, 12-12-24-19-54
3, F, Black,False,False, 1, 12-12-24-19-56
2, F, Black,False,False, 1, 12-12-24-20-00
1, F, Black,False,False, 1, 12-12-24-20-03
9, F, Asian,False,False, 1, 12-12-24-20-11
5, F, Asian,False,False, 1, 12-12-24-20-11
1, F, Asian,False,False, 1, 12-12-24-20-12
7, F, Asian,False,False, 1, 12-12-24-20-12
, F, Black,False,False, 1, 03-02-26-15-48
Select PID, Select Gender, Select Cohort, 03-23-26-12-28
