TimeStamp,VRCamera_position_x,VRCamera_position_y,VRCamera_position_z, VRCamera_quat_x,VRCamera_quat_y,VRCamera_quat_z,VRCamera_quat_w,VRCamera_six_a,VRCamera_six_b,VRCamera_six_c,VRCamera_six_d, VRCamera_Six_e, VRCamera_Six_f,Controller (left)_position_x,Controller (left)_position_y,Controller (left)_position_z, Controller (left)_quat_x,Controller (left)_quat_y,Controller (left)_quat_z,Controller (left)_quat_w,Controller (left)_six_a,Controller (left)_six_b,Controller (left)_six_c,Controller (left)_six_d, Controller (left)_Six_e, Controller (left)_Six_f,Controller (right)_position_x,Controller (right)_position_y,Controller (right)_position_z, Controller (right)_quat_x,Controller (right)_quat_y,Controller (right)_quat_z,Controller (right)_quat_w,Controller (right)_six_a,Controller (right)_six_b,Controller (right)_six_c,Controller (right)_six_d, Controller (right)_Six_e, Controller (right)_Six_f,

0.0149,-0.0062,1.4671,2.6938,-0.3307, 0.2268, -0.0287,-0.9156,0.8955, -0.0974,0.4344,-0.2026, 0.7796, 0.5926,0.1996,0.7150,2.7421,0.3531, -0.2622, 0.0940,0.8932,0.8449, -0.0173,0.5347,-0.3530, 0.7329, 0.5815,-0.1786,0.6981,2.6804,0.5044, 0.2377, -0.1594,0.8146,0.8361, -0.0199,-0.5482,0.4996, 0.4403, 0.7460,
0.0269,-0.0062,1.4671,2.6937,-0.3308, 0.2266, -0.0287,-0.9156,0.8956, -0.0973,0.4340,-0.2026, 0.7795, 0.5928,0.1995,0.7151,2.7418,0.3530, -0.2626, 0.0943,0.8931,0.8443, -0.0168,0.5356,-0.3539, 0.7330, 0.5809,-0.1782,0.6980,2.6803,0.5043, 0.2380, -0.1596,0.8146,0.8358, -0.0200,-0.5487,0.5001, 0.4404, 0.7456,
0.0439,-0.0063,1.4671,2.6936,-0.3308, 0.2264, -0.0287,-0.9157,0.8958, -0.0973,0.4337,-0.2023, 0.7795, 0.5929,0.1996,0.7151,2.7416,0.3529, -0.2627, 0.0944,0.8931,0.8442, -0.0169,0.5358,-0.3540, 0.7331, 0.5808,-0.1783,0.6980,2.6803,0.5043, 0.2381, -0.1597,0.8145,0.8356, -0.0200,-0.5489,0.5003, 0.4403, 0.7456,
0.0550,-0.0063,1.4671,2.6936,-0.3308, 0.2263, -0.0285,-0.9157,0.8959, -0.0975,0.4334,-0.2020, 0.7795, 0.5930,0.1994,0.7151,2.7418,0.3532, -0.2625, 0.0943,0.8930,0.8444, -0.0170,0.5354,-0.3538, 0.7327, 0.5813,-0.1783,0.6980,2.6804,0.5043, 0.2381, -0.1596,0.8146,0.8356, -0.0199,-0.5489,0.5002, 0.4404, 0.7455,
0.0667,-0.0063,1.4671,2.6935,-0.3307, 0.2262, -0.0285,-0.9158,0.8961, -0.0973,0.4331,-0.2018, 0.7797, 0.5927,0.1994,0.7152,2.7418,0.3533, -0.2625, 0.0942,0.8930,0.8445, -0.0172,0.5353,-0.3537, 0.7326, 0.5816,-0.1778,0.6978,2.6803,0.5043, 0.2382, -0.1596,0.8145,0.8356, -0.0197,-0.5489,0.5002, 0.4404, 0.7456,
0.0791,-0.0063,1.4671,2.6934,-0.3305, 0.2260, -0.0285,-0.9159,0.8962, -0.0972,0.4329,-0.2016, 0.7799, 0.5925,0.1994,0.7152,2.7418,0.3534, -0.2622, 0.0941,0.8930,0.8448, -0.0173,0.5348,-0.3533, 0.7325, 0.5819,-0.1778,0.6978,2.6803,0.5044, 0.2382, -0.1595,0.8145,0.8357, -0.0195,-0.5489,0.5000, 0.4403, 0.7457,
0.0881,-0.0064,1.4671,2.6934,-0.3305, 0.2259, -0.0285,-0.9159,0.8963, -0.0971,0.4326,-0.2015, 0.7799, 0.5926,0.1992,0.7152,2.7421,0.3537, -0.2619, 0.0939,0.8930,0.8451, -0.0175,0.5342,-0.3530, 0.7322, 0.5825,-0.1787,0.6981,2.6805,0.5046, 0.2383, -0.1593,0.8144,0.8357, -0.0189,-0.5488,0.4999, 0.4401, 0.7459,
0.1037,-0.0064,1.4672,2.6933,-0.3304, 0.2258, -0.0285,-0.9160,0.8964, -0.0970,0.4325,-0.2015, 0.7800, 0.5924,0.1991,0.7153,2.7421,0.3536, -0.2619, 0.0939,0.8930,0.8452, -0.0176,0.5342,-0.3529, 0.7323, 0.5824,-0.1787,0.6982,2.6805,0.5045, 0.2382, -0.1592,0.8145,0.8358, -0.0189,-0.5487,0.4997, 0.4402, 0.7460,
0.1152,-0.0065,1.4672,2.6932,-0.3304, 0.2257, -0.0285,-0.9160,0.8965, -0.0969,0.4323,-0.2013, 0.7801, 0.5924,0.1988,0.7152,2.7421,0.3535, -0.2619, 0.0939,0.8931,0.8452, -0.0175,0.5342,-0.3529, 0.7325, 0.5822,-0.1790,0.6983,2.6806,0.5045, 0.2383, -0.1590,0.8145,0.8358, -0.0185,-0.5486,0.4995, 0.4404, 0.7460,
0.1214,-0.0065,1.4673,2.6931,-0.3303, 0.2256, -0.0286,-0.9161,0.8966, -0.0967,0.4322,-0.2014, 0.7802, 0.5922,0.1988,0.7152,2.7419,0.3534, -0.2619, 0.0939,0.8931,0.8451, -0.0173,0.5343,-0.3529, 0.7326, 0.5820,-0.1798,0.6986,2.6806,0.5045, 0.2383, -0.1589,0.8145,0.8359, -0.0185,-0.5486,0.4994, 0.4405, 0.7460,
0.1335,-0.0066,1.4674,2.6930,-0.3301, 0.2255, -0.0286,-0.9162,0.8967, -0.0965,0.4321,-0.2013, 0.7804, 0.5920,0.1987,0.7152,2.7419,0.3533, -0.2620, 0.0940,0.8931,0.8450, -0.0173,0.5344,-0.3531, 0.7326, 0.5819,-0.1798,0.6986,2.6807,0.5044, 0.2383, -0.1589,0.8146,0.8360, -0.0185,-0.5485,0.4992, 0.4406, 0.7461,
0.1456,-0.0065,1.4674,2.6928,-0.3300, 0.2253, -0.0287,-0.9163,0.8968, -0.0962,0.4318,-0.2012, 0.7806, 0.5918,0.1987,0.7154,2.7421,0.3536, -0.2618, 0.0938,0.8931,0.8454, -0.0176,0.5339,-0.3526, 0.7324, 0.5825,-0.1809,0.6990,2.6808,0.5044, 0.2381, -0.1587,0.8147,0.8362, -0.0183,-0.5481,0.4988, 0.4409, 0.7462,
0.1558,-0.0065,1.4674,2.6927,-0.3298, 0.2253, -0.0287,-0.9163,0.8968, -0.0960,0.4318,-0.2012, 0.7808, 0.5915,0.1985,0.7155,2.7422,0.3536, -0.2617, 0.0936,0.8931,0.8455, -0.0179,0.5336,-0.3523, 0.7324, 0.5827,-0.1810,0.6990,2.6808,0.5043, 0.2379, -0.1586,0.8148,0.8364, -0.0185,-0.5477,0.4985, 0.4410, 0.7464,
0.1696,-0.0065,1.4675,2.6926,-0.3296, 0.2252, -0.0287,-0.9164,0.8970, -0.0959,0.4316,-0.2010, 0.7810, 0.5913,0.1985,0.7155,2.7424,0.3538, -0.2616, 0.0934,0.8931,0.8457, -0.0183,0.5333,-0.3519, 0.7322, 0.5832,-0.1814,0.6991,2.6808,0.5044, 0.2379, -0.1585,0.8148,0.8366, -0.0183,-0.5475,0.4982, 0.4410, 0.7466,
0.1819,-0.0065,1.4676,2.6924,-0.3295, 0.2251, -0.0287,-0.9165,0.8970, -0.0957,0.4315,-0.2009, 0.7812, 0.5910,0.1984,0.7157,2.7424,0.3537, -0.2615, 0.0931,0.8932,0.8459, -0.0186,0.5330,-0.3513, 0.7324, 0.5832,-0.1815,0.6991,2.6809,0.5044, 0.2377, -0.1584,0.8149,0.8368, -0.0183,-0.5472,0.4979, 0.4410, 0.7467,
0.1882,-0.0066,1.4676,2.6923,-0.3293, 0.2251, -0.0288,-0.9165,0.8970, -0.0955,0.4316,-0.2010, 0.7814, 0.5908,0.1981,0.7157,2.7426,0.3536, -0.2615, 0.0930,0.8933,0.8459, -0.0189,0.5330,-0.3511, 0.7326, 0.5831,-0.1808,0.6988,2.6807,0.5043, 0.2378, -0.1584,0.8149,0.8368, -0.0184,-0.5473,0.4980, 0.4412, 0.7466,
0.2001,-0.0065,1.4677,2.6922,-0.3292, 0.2251, -0.0288,-0.9166,0.8970, -0.0954,0.4316,-0.2010, 0.7815, 0.5906,0.1980,0.7158,2.7426,0.3535, -0.2616, 0.0929,0.8933,0.8458, -0.0190,0.5331,-0.3509, 0.7329, 0.5829,-0.1808,0.6988,2.6808,0.5043, 0.2377, -0.1584,0.8149,0.8368, -0.0184,-0.5472,0.4979, 0.4411, 0.7466,
0.2127,-0.0065,1.4677,2.6921,-0.3291, 0.2250, -0.0288,-0.9166,0.8970, -0.0952,0.4316,-0.2010, 0.7818, 0.5903,0.1978,0.7160,2.7427,0.3533, -0.2618, 0.0929,0.8933,0.8457, -0.0191,0.5333,-0.3509, 0.7331, 0.5826,-0.1818,0.6993,2.6809,0.5043, 0.2376, -0.1583,0.8149,0.8369, -0.0184,-0.5470,0.4977, 0.4412, 0.7467,
0.2224,-0.0064,1.4678,2.6921,-0.3290, 0.2250, -0.0288,-0.9167,0.8970, -0.0953,0.4315,-0.2009, 0.7818, 0.5902,0.1977,0.7161,2.7428,0.3531, -0.2619, 0.0928,0.8934,0.8456, -0.0191,0.5335,-0.3508, 0.7334, 0.5823,-0.1823,0.6996,2.6810,0.5043, 0.2376, -0.1584,0.8150,0.8369, -0.0185,-0.5470,0.4978, 0.4413, 0.7467,
0.2365,-0.0064,1.4678,2.6920,-0.3290, 0.2250, -0.0289,-0.9167,0.8971, -0.0952,0.4315,-0.2010, 0.7818, 0.5902,0.1975,0.7160,2.7427,0.3531, -0.2620, 0.0928,0.8933,0.8455, -0.0193,0.5336,-0.3508, 0.7334, 0.5823,-0.1824,0.6996,2.6810,0.5043, 0.2375, -0.1584,0.8150,0.8370, -0.0186,-0.5469,0.4977, 0.4412, 0.7467,
0.2498,-0.0065,1.4678,2.6920,-0.3290, 0.2251, -0.0289,-0.9167,0.8970, -0.0952,0.4316,-0.2010, 0.7818, 0.5902,0.1972,0.7160,2.7426,0.3531, -0.2620, 0.0927,0.8934,0.8455, -0.0195,0.5336,-0.3506, 0.7335, 0.5823,-0.1832,0.6999,2.6812,0.5043, 0.2373, -0.1583,0.8151,0.8373, -0.0186,-0.5465,0.4973, 0.4413, 0.7469,
0.2554,-0.0065,1.4679,2.6920,-0.3289, 0.2250, -0.0289,-0.9167,0.8970, -0.0951,0.4316,-0.2010, 0.7820, 0.5900,0.1970,0.7162,2.7427,0.3528, -0.2621, 0.0925,0.8935,0.8454, -0.0196,0.5337,-0.3503, 0.7340, 0.5819,-0.1844,0.7003,2.6813,0.5043, 0.2372, -0.1582,0.8151,0.8375, -0.0187,-0.5462,0.4971, 0.4413, 0.7471,
0.2671,-0.0065,1.4678,2.6919,-0.3288, 0.2251, -0.0289,-0.9167,0.8970, -0.0950,0.4318,-0.2011, 0.7821, 0.5899,0.1969,0.7161,2.7426,0.3526, -0.2623, 0.0926,0.8935,0.8453, -0.0195,0.5339,-0.3504, 0.7341, 0.5816,-0.1844,0.7003,2.6813,0.5043, 0.2371, -0.1582,0.8151,0.8375, -0.0187,-0.5461,0.4970, 0.4413, 0.7471,
0.2802,-0.0065,1.4679,2.6918,-0.3287, 0.2250, -0.0290,-0.9168,0.8970, -0.0948,0.4317,-0.2010, 0.7822, 0.5897,0.1967,0.7162,2.7427,0.3522, -0.2624, 0.0926,0.8936,0.8451, -0.0194,0.5342,-0.3504, 0.7347, 0.5809,-0.1845,0.7004,2.6813,0.5043, 0.2371, -0.1580,0.8152,0.8376, -0.0186,-0.5459,0.4968, 0.4414, 0.7472,
0.2909,-0.0066,1.4679,2.6918,-0.3287, 0.2251, -0.0289,-0.9168,0.8970, -0.0950,0.4317,-0.2009, 0.7823, 0.5897,0.1966,0.7162,2.7430,0.3519, -0.2623, 0.0926,0.8937,0.8452, -0.0191,0.5341,-0.3502, 0.7352, 0.5804,-0.1851,0.7006,2.6814,0.5042, 0.2371, -0.1580,0.8152,0.8377, -0.0184,-0.5459,0.4966, 0.4416, 0.7472,
0.3039,-0.0066,1.4680,2.6918,-0.3287, 0.2251, -0.0288,-0.9168,0.8970, -0.0951,0.4316,-0.2008, 0.7822, 0.5898,0.1964,0.7163,2.7432,0.3516, -0.2623, 0.0925,0.8939,0.8452, -0.0190,0.5340,-0.3499, 0.7357, 0.5800,-0.1846,0.7004,2.6813,0.5041, 0.2371, -0.1579,0.8153,0.8377, -0.0183,-0.5458,0.4965, 0.4418, 0.7472,
0.3163,-0.0068,1.4680,2.6918,-0.3287, 0.2251, -0.0287,-0.9168,0.8970, -0.0953,0.4317,-0.2007, 0.7823, 0.5897,0.1963,0.7164,2.7434,0.3513, -0.2621, 0.0925,0.8941,0.8455, -0.0187,0.5337,-0.3496, 0.7361, 0.5796,-0.1847,0.7004,2.6813,0.5041, 0.2370, -0.1579,0.8153,0.8378, -0.0185,-0.5457,0.4964, 0.4420, 0.7471,
